dnid,dnname,dnlatitude,dnlongitude,dnradius
4885037027,경상남도 하동군 진교면 월운리,35.07598147,127.8807616,1.824
4885037028,경상남도 하동군 진교면 송원리,35.0318925,127.914231,2.367
4885037029,경상남도 하동군 진교면 고이리,35.06079773,127.9091512,2.585
4885037030,경상남도 하동군 진교면 술상리,34.99256848,127.9041251,2.026
4885038000,경상남도 하동군 양보면,35.06913476,127.8466258,4.453
4885038021,경상남도 하동군 양보면 운암리,35.04721452,127.8443426,1.413
4885038022,경상남도 하동군 양보면 장암리,35.06398913,127.8316926,2.252
4885038023,경상남도 하동군 양보면 감당리,35.0853865,127.8276216,1.882
4885038024,경상남도 하동군 양보면 우복리,35.09226323,127.8492816,2.038
4885038025,경상남도 하동군 양보면 통정리,35.07243108,127.8570342,1.741
4885038026,경상남도 하동군 양보면 박달리,35.0603574,127.8617784,1.786
4885038027,경상남도 하동군 양보면 지례리,35.04503585,127.8663657,1.715
4885039000,경상남도 하동군 북천면,35.11997006,127.8709613,4.783
4885039021,경상남도 하동군 북천면 방화리,35.11469884,127.846662,1.225
4885039022,경상남도 하동군 북천면 사평리,35.10766415,127.8610918,2.226
4885039023,경상남도 하동군 북천면 직전리,35.10155129,127.885985,2.187
4885039024,경상남도 하동군 북천면 옥정리,35.11987239,127.8975368,1.44
4885039025,경상남도 하동군 북천면 서황리,35.12581094,127.8714601,2.038
4885039026,경상남도 하동군 북천면 화정리,35.14445864,127.858942,2.201
4885040000,경상남도 하동군 청암면,35.19632727,127.7574065,8.79
4885040021,경상남도 하동군 청암면 평촌리,35.1583882,127.7972848,2.148
4885040022,경상남도 하동군 청암면 명호리,35.13853441,127.7850369,2.225
4885040023,경상남도 하동군 청암면 중이리,35.16835689,127.7642386,2.406
4885040024,경상남도 하동군 청암면 상이리,35.1913438,127.7726881,3.412
4885040025,경상남도 하동군 청암면 묵계리,35.23203864,127.7305637,4.821
4885041000,경상남도 하동군 옥종면,35.19430378,127.8613243,8.031
4885041021,경상남도 하동군 옥종면 청룡리,35.1750741,127.8585548,2.79
4885041022,경상남도 하동군 옥종면 월횡리,35.20036107,127.8570691,2.152
4885041023,경상남도 하동군 옥종면 두양리,35.24068989,127.8720801,2.362
4885041024,경상남도 하동군 옥종면 종화리,35.22382086,127.8677471,2.147
4885041025,경상남도 하동군 옥종면 문암리,35.20498562,127.8857949,1.389
4885041026,경상남도 하동군 옥종면 안계리,35.21146608,127.8646505,2.201
4885041027,경상남도 하동군 옥종면 병천리,35.19006386,127.8859836,1.668
